username,firstname,lastname,email,password,cohort1,course1,role1,course2,role2
melody.taylor,Melody,Taylor,melody.taylor+24@academy.local,CyberAcademy2026*,cohort_ai_students,AI_tools,student,machine_learning,student
nicholas.bansal,Nicholas,Bansal,nicholas.bansal+25@academy.local,CyberAcademy2026*,cohort_ai_students,AI_intro,student,AI_tools,student
ivy.jimenez,Ivy,Jimenez,ivy.jimenez+26@academy.local,CyberAcademy2026*,cohort_ai_students,AI_intro,student,prompts,student
logan.walker,Logan,Walker,logan.walker+27@academy.local,CyberAcademy2026*,cohort_ai_students,machine_learning,student,AI_intro,student
avery.salazar,Avery,Salazar,avery.salazar+28@academy.local,CyberAcademy2026*,cohort_ai_students,AI_intro,student,AI_tools,student
olivia.wilson,Olivia,Wilson,olivia.wilson+29@academy.local,CyberAcademy2026*,cohort_ai_students,AI_tools,student,AI_intro,student
mason.verma,Mason,Verma,mason.verma+30@academy.local,CyberAcademy2026*,cohort_ai_students,AI_intro,student,AI_tools,student
joshua.evans,Joshua,Evans,joshua.evans+31@academy.local,CyberAcademy2026*,cohort_ai_students,AI_tools,student,AI_intro,student
alex.carter,Alex,Carter,alex.carter+32@academy.local,CyberAcademy2026*,cohort_ai_students,AI_tools,student,AI_intro,student
nora.king,Nora,King,nora.king+33@academy.local,CyberAcademy2026*,cohort_ai_students,prompts,student,AI_intro,student
lucas.hussain1,Lucas,Hussain,lucas.hussain@academy.local,CyberAcademy2026*,cohort_cybersec_students,Linux,student,secure_web,student
christopher.smith,Christopher,Smith,christopher.smith+1@academy.local,CyberAcademy2026*,cohort_cybersec_students,ethical_hack,student,secure_web,student
elijah.murphy,Elijah,Murphy,elijah.murphy+2@academy.local,CyberAcademy2026*,cohort_cybersec_students,networks,student,Linux,student
mason.mishra,Mason,Mishra,mason.mishra+3@academy.local,CyberAcademy2026*,cohort_cybersec_students,ethical_hack,student,networks,student
scarlett.verma,Scarlett,Verma,scarlett.verma+4@academy.local,CyberAcademy2026*,cohort_cybersec_students,secure_web,student,networks,student
isabella.sanchez,Isabella,Sanchez,isabella.sanchez+5@academy.local,CyberAcademy2026*,cohort_cybersec_students,secure_web,student,ethical_hack,student
logan.qureshi,Logan,Qureshi,logan.qureshi+6@academy.local,CyberAcademy2026*,cohort_cybersec_students,Linux,student,networks,student
lucas.shah,Lucas,Shah,lucas.shah+7@academy.local,CyberAcademy2026*,cohort_cybersec_students,secure_web,student,Linux,student
victoria.ortega,Victoria,Ortega,victoria.ortega+8@academy.local,CyberAcademy2026*,cohort_cybersec_students,secure_web,student,Linux,student
eva.taylor,Eva,Taylor,eva.taylor+9@academy.local,CyberAcademy2026*,cohort_cybersec_students,networks,student,ethical_hack,student
ryan.thomas,Ryan,Thomas,ryan.thomas+10@academy.local,CyberAcademy2026*,cohort_cybersec_students,ethical_hack,student,networks,student
zoe.pillai,Zoe,Pillai,zoe.pillai+11@academy.local,CyberAcademy2026*,cohort_cybersec_students,secure_web,student,ethical_hack,student
samuel.singh,Samuel,Singh,samuel.singh+12@academy.local,CyberAcademy2026*,cohort_cybersec_students,Linux,student,networks,student
lucas.scott,Lucas,Scott,lucas.scott+13@academy.local,CyberAcademy2026*,cohort_cybersec_students,networks,student,ethical_hack,student
sofia.walker,Sofia,Walker,sofia.walker+14@academy.local,CyberAcademy2026*,cohort_cybersec_students,secure_web,student,ethical_hack,student
lucas.martin,Lucas,Martin,lucas.martin+15@academy.local,CyberAcademy2026*,cohort_cybersec_students,networks,student,secure_web,student
elijah.singh,Elijah,Singh,elijah.singh+16@academy.local,CyberAcademy2026*,cohort_cybersec_students,networks,student,Linux,student
stella.thomas,Stella,Thomas,stella.thomas+17@academy.local,CyberAcademy2026*,cohort_cybersec_students,Linux,student,secure_web,student
eleanor.shah,Eleanor,Shah,eleanor.shah+18@academy.local,CyberAcademy2026*,cohort_cybersec_students,networks,student,secure_web,student
liam.harris,Liam,Harris,liam.harris+19@academy.local,CyberAcademy2026*,cohort_cybersec_students,secure_web,student,networks,student
lillian.syed,Lillian,Syed,lillian.syed+20@academy.local,CyberAcademy2026*,cohort_cybersec_students,Linux,student,secure_web,student
benjamin.hussain,Benjamin,Hussain,benjamin.hussain+21@academy.local,CyberAcademy2026*,cohort_cybersec_students,Linux,student,secure_web,student
andrew.rao,Andrew,Rao,andrew.rao+22@academy.local,CyberAcademy2026*,cohort_cybersec_students,networks,student,Linux,student
michael.hussain,Michael,Hussain,michael.hussain+23@academy.local,CyberAcademy2026*,cohort_cybersec_students,Linux,student,secure_web,student
sadie.evans,Sadie,Evans,sadie.evans+24@academy.local,CyberAcademy2026*,cohort_cybersec_students,secure_web,student,ethical_hack,student
noah.jimenez,Noah,Jimenez,noah.jimenez+25@academy.local,CyberAcademy2026*,cohort_cybersec_students,Linux,student,networks,student
lucas.lee,Lucas,Lee,lucas.lee+26@academy.local,CyberAcademy2026*,cohort_cybersec_students,secure_web,student,networks,student
harper.parker,Harper,Parker,harper.parker+27@academy.local,CyberAcademy2026*,cohort_cybersec_students,ethical_hack,student,secure_web,student
madison.saxena,Madison,Saxena,madison.saxena+28@academy.local,CyberAcademy2026*,cohort_cybersec_students,networks,student,ethical_hack,student
katherine.wilson,Katherine,Wilson,katherine.wilson+29@academy.local,CyberAcademy2026*,cohort_cybersec_students,Linux,student,networks,student
liam.pillai,Liam,Pillai,liam.pillai+30@academy.local,CyberAcademy2026*,cohort_cybersec_students,networks,student,secure_web,student
elizabeth.lopez,Elizabeth,Lopez,elizabeth.lopez+31@academy.local,CyberAcademy2026*,cohort_cybersec_students,secure_web,student,Linux,student
eva.ibrahim,Eva,Ibrahim,eva.ibrahim+32@academy.local,CyberAcademy2026*,cohort_cybersec_students,secure_web,student,networks,student
natalie.karim,Natalie,Karim,natalie.karim@academy.local,CyberAcademy2026*,cohort_forensics_students,digital_forensics,student,Malware_analysis,student
michael.wilson,Michael,Wilson,michael.wilson+1@academy.local,CyberAcademy2026*,cohort_forensics_students,digital_forensics,student,incident_basics,student
benjamin.brown,Benjamin,Brown,benjamin.brown+2@academy.local,CyberAcademy2026*,cohort_forensics_students,incident_basics,student,Malware_analysis,student
nora.wright,Nora,Wright,nora.wright+3@academy.local,CyberAcademy2026*,cohort_forensics_students,digital_forensics,student,Malware_analysis,student
claire.anderson,Claire,Anderson,claire.anderson+4@academy.local,CyberAcademy2026*,cohort_forensics_students,digital_forensics,student,Malware_analysis,student
jacob.jackson,Jacob,Jackson,jacob.jackson+5@academy.local,CyberAcademy2026*,cohort_forensics_students,incident_basics,student,Malware_analysis,student
adeline.bhatia,Adeline,Bhatia,adeline.bhatia+6@academy.local,CyberAcademy2026*,cohort_forensics_students,incident_basics,student,Malware_analysis,student
james.jackson1,James,Jackson,james.jackson+7@academy.local,CyberAcademy2026*,cohort_forensics_students,Malware_analysis,student,digital_forensics,student
olivia.harris,Olivia,Harris,olivia.harris+8@academy.local,CyberAcademy2026*,cohort_forensics_students,Malware_analysis,student,digital_forensics,student
ava.johnson,Ava,Johnson,ava.johnson+9@academy.local,CyberAcademy2026*,cohort_forensics_students,Malware_analysis,student,incident_basics,student
nora.reddy,Nora,Reddy,nora.reddy+10@academy.local,CyberAcademy2026*,cohort_forensics_students,digital_forensics,student,Malware_analysis,student
samuel.salazar,Samuel,Salazar,samuel.salazar+11@academy.local,CyberAcademy2026*,cohort_forensics_students,incident_basics,student,digital_forensics,student
elizabeth.joshi,Elizabeth,Joshi,elizabeth.joshi+12@academy.local,CyberAcademy2026*,cohort_forensics_students,digital_forensics,student,Malware_analysis,student
benjamin.syed,Benjamin,Syed,benjamin.syed+13@academy.local,CyberAcademy2026*,cohort_forensics_students,digital_forensics,student,incident_basics,student
ava.ali,Ava,Ali,ava.ali+14@academy.local,CyberAcademy2026*,cohort_forensics_students,incident_basics,student,Malware_analysis,student
oliver.kapoor,Oliver,Kapoor,oliver.kapoor+15@academy.local,CyberAcademy2026*,cohort_forensics_students,incident_basics,student,digital_forensics,student
michael.romero,Michael,Romero,michael.romero+16@academy.local,CyberAcademy2026*,cohort_forensics_students,digital_forensics,student,incident_basics,student
benjamin.white,Benjamin,White,benjamin.white+17@academy.local,CyberAcademy2026*,cohort_forensics_students,digital_forensics,student,incident_basics,student
david.morris,David,Morris,david.morris+18@academy.local,CyberAcademy2026*,cohort_forensics_students,digital_forensics,student,Malware_analysis,student
noah.bansal,Noah,Bansal,noah.bansal+19@academy.local,CyberAcademy2026*,cohort_forensics_students,digital_forensics,student,Malware_analysis,student
alex.hussain,Alex,Hussain,alex.hussain+20@academy.local,CyberAcademy2026*,cohort_forensics_students,digital_forensics,student,Malware_analysis,student
elizabeth.lopez1,Elizabeth,Lopez,elizabeth.lopez+21@academy.local,CyberAcademy2026*,cohort_forensics_students,Malware_analysis,student,digital_forensics,student
elijah.wright,Elijah,Wright,elijah.wright+22@academy.local,CyberAcademy2026*,cohort_forensics_students,incident_basics,student,Malware_analysis,student
madison.patel,Madison,Patel,madison.patel+23@academy.local,CyberAcademy2026*,cohort_forensics_students,Malware_analysis,student,incident_basics,student
ava.verma,Ava,Verma,ava.verma+24@academy.local,CyberAcademy2026*,cohort_forensics_students,incident_basics,student,Malware_analysis,student
benjamin.syed1,Benjamin,Syed,benjamin.syed+25@academy.local,CyberAcademy2026*,cohort_forensics_students,digital_forensics,student,incident_basics,student
victoria.vasquez,Victoria,Vasquez,victoria.vasquez+26@academy.local,CyberAcademy2026*,cohort_forensics_students,digital_forensics,student,Malware_analysis,student
ivy.rogers,Ivy,Rogers,ivy.rogers+27@academy.local,CyberAcademy2026*,cohort_forensics_students,Malware_analysis,student,digital_forensics,student
elijah.scott,Elijah,Scott,elijah.scott+28@academy.local,CyberAcademy2026*,cohort_forensics_students,Malware_analysis,student,incident_basics,student
noah.parker,Noah,Parker,noah.parker+29@academy.local,CyberAcademy2026*,cohort_forensics_students,Malware_analysis,student,incident_basics,student
seraphina.rodriguez,Seraphina,Rodriguez,seraphina.rodriguez+30@academy.local,CyberAcademy2026*,cohort_forensics_students,incident_basics,student,digital_forensics,student
logan.reddy,Logan,Reddy,logan.reddy+31@academy.local,CyberAcademy2026*,cohort_forensics_students,Malware_analysis,student,digital_forensics,student
elijah.kumar,Elijah,Kumar,elijah.kumar+32@academy.local,CyberAcademy2026*,cohort_forensics_students,Malware_analysis,student,digital_forensics,student
